common_variable,display_name,common_unit,analysis_role,mimic_iv_analysis_field,mimic_iv_availability,eicu_crd_analysis_field,eicu_crd_availability,amsterdamumcdb_analysis_field,amsterdamumcdb_availability,six_hour_aggregation,harmonization_or_range_rule,missing_window_rule,authoritative_analytical_source,cohort_specific_extraction_code,revision_output_and_qa
spo2,SpO2,%,characterization,spo2,available in frozen matrix,spo2,available in frozen matrix,spo2,available in frozen matrix,arithmetic mean across available patient-window rows,Mean across available 6-h rows,preserved as missing at source-matrix audit stage; analysis-specific handling documented in Methods,00_frozen_inputs/data_snapshot/remote_project_snapshot/04.other_feature_in_three_dataset/00.data_merge/df_saki_timeseries_feature_all.csv,publication_code/01.MIMICIV_SAKI_trajCluster/step1_data preparation.py; publication_code/03.eICU_SAKI_trajCluster/step1_data preparation.py; publication_code/02.AUMCdb_SAKI_trajCluster/step1_data preparation.py,harmonized_longitudinal_long.csv; Tables S3–S5; source-to-generated comparison and range/unit QA
fio2,FiO2,%,characterization,fio2,available in frozen matrix,fio2,available in frozen matrix,fio2,available in frozen matrix,arithmetic mean across available patient-window rows,eICU fraction multiplied by 100; values outside 21–100% removed,preserved as missing at source-matrix audit stage; analysis-specific handling documented in Methods,00_frozen_inputs/data_snapshot/remote_project_snapshot/04.other_feature_in_three_dataset/00.data_merge/df_saki_timeseries_feature_all.csv,publication_code/01.MIMICIV_SAKI_trajCluster/step1_data preparation.py; publication_code/03.eICU_SAKI_trajCluster/step1_data preparation.py; publication_code/02.AUMCdb_SAKI_trajCluster/step1_data preparation.py,harmonized_longitudinal_long.csv; Tables S3–S5; source-to-generated comparison and range/unit QA
po2,PaO2,mmHg,characterization,po2,available in frozen matrix,po2,available in frozen matrix,po2,available in frozen matrix,arithmetic mean across available patient-window rows,Mean across available 6-h rows,preserved as missing at source-matrix audit stage; analysis-specific handling documented in Methods,00_frozen_inputs/data_snapshot/remote_project_snapshot/04.other_feature_in_three_dataset/00.data_merge/df_saki_timeseries_feature_all.csv,publication_code/01.MIMICIV_SAKI_trajCluster/step1_data preparation.py; publication_code/03.eICU_SAKI_trajCluster/step1_data preparation.py; publication_code/02.AUMCdb_SAKI_trajCluster/step1_data preparation.py,harmonized_longitudinal_long.csv; Tables S3–S5; source-to-generated comparison and range/unit QA
resp_rate,Respiratory rate,breaths/min,characterization,resp_rate,available in frozen matrix,resp_rate,available in frozen matrix,resp_rate,available in frozen matrix,arithmetic mean across available patient-window rows,Mean across available 6-h rows,preserved as missing at source-matrix audit stage; analysis-specific handling documented in Methods,00_frozen_inputs/data_snapshot/remote_project_snapshot/04.other_feature_in_three_dataset/00.data_merge/df_saki_timeseries_feature_all.csv,publication_code/01.MIMICIV_SAKI_trajCluster/step1_data preparation.py; publication_code/03.eICU_SAKI_trajCluster/step1_data preparation.py; publication_code/02.AUMCdb_SAKI_trajCluster/step1_data preparation.py,harmonized_longitudinal_long.csv; Tables S3–S5; source-to-generated comparison and range/unit QA
sodium,Sodium,mmol/L,characterization,sodium,available in frozen matrix,sodium,available in frozen matrix,sodium,available in frozen matrix,arithmetic mean across available patient-window rows,Mean across available 6-h rows,preserved as missing at source-matrix audit stage; analysis-specific handling documented in Methods,00_frozen_inputs/data_snapshot/remote_project_snapshot/04.other_feature_in_three_dataset/00.data_merge/df_saki_timeseries_feature_all.csv,publication_code/01.MIMICIV_SAKI_trajCluster/step1_data preparation.py; publication_code/03.eICU_SAKI_trajCluster/step1_data preparation.py; publication_code/02.AUMCdb_SAKI_trajCluster/step1_data preparation.py,harmonized_longitudinal_long.csv; Tables S3–S5; source-to-generated comparison and range/unit QA
chloride,Chloride,mmol/L,characterization,chloride,available in frozen matrix,chloride,available in frozen matrix,chloride,available in frozen matrix,arithmetic mean across available patient-window rows,Mean across available 6-h rows,preserved as missing at source-matrix audit stage; analysis-specific handling documented in Methods,00_frozen_inputs/data_snapshot/remote_project_snapshot/04.other_feature_in_three_dataset/00.data_merge/df_saki_timeseries_feature_all.csv,publication_code/01.MIMICIV_SAKI_trajCluster/step1_data preparation.py; publication_code/03.eICU_SAKI_trajCluster/step1_data preparation.py; publication_code/02.AUMCdb_SAKI_trajCluster/step1_data preparation.py,harmonized_longitudinal_long.csv; Tables S3–S5; source-to-generated comparison and range/unit QA
potassium,Potassium,mmol/L,characterization,potassium,available in frozen matrix,potassium,available in frozen matrix,potassium,available in frozen matrix,arithmetic mean across available patient-window rows,Mean across available 6-h rows,preserved as missing at source-matrix audit stage; analysis-specific handling documented in Methods,00_frozen_inputs/data_snapshot/remote_project_snapshot/04.other_feature_in_three_dataset/00.data_merge/df_saki_timeseries_feature_all.csv,publication_code/01.MIMICIV_SAKI_trajCluster/step1_data preparation.py; publication_code/03.eICU_SAKI_trajCluster/step1_data preparation.py; publication_code/02.AUMCdb_SAKI_trajCluster/step1_data preparation.py,harmonized_longitudinal_long.csv; Tables S3–S5; source-to-generated comparison and range/unit QA
calcium,Calcium,mg/dL,characterization,calcium,available in frozen matrix,calcium,available in frozen matrix,calcium,available in frozen matrix,arithmetic mean across available patient-window rows,Database-derived value retained; cohort-level plausibility audited,preserved as missing at source-matrix audit stage; analysis-specific handling documented in Methods,00_frozen_inputs/data_snapshot/remote_project_snapshot/04.other_feature_in_three_dataset/00.data_merge/df_saki_timeseries_feature_all.csv,publication_code/01.MIMICIV_SAKI_trajCluster/step1_data preparation.py; publication_code/03.eICU_SAKI_trajCluster/step1_data preparation.py; publication_code/02.AUMCdb_SAKI_trajCluster/step1_data preparation.py,harmonized_longitudinal_long.csv; Tables S3–S5; source-to-generated comparison and range/unit QA
urineoutput,Mean 6-h-window urine output,mL,clustering and characterization,urineoutput,available in frozen matrix,urineoutput,available in frozen matrix,urineoutput,available in frozen matrix,arithmetic mean across available patient-window rows,Arithmetic mean of available 6-h window totals; not a 24-h sum or weight-normalized rate,MIMIC-IV and AmsterdamUMCdb: preserved as missing before imputation; archived eICU urine-output pipeline zero-coded undocumented windows; documented-window sensitivities reported,00_frozen_inputs/data_snapshot/remote_project_snapshot/04.other_feature_in_three_dataset/00.data_merge/df_saki_timeseries_feature_all.csv,publication_code/01.MIMICIV_SAKI_trajCluster/step1_data preparation.py; publication_code/03.eICU_SAKI_trajCluster/step1_data preparation.py; publication_code/02.AUMCdb_SAKI_trajCluster/step1_data preparation.py,harmonized_longitudinal_long.csv; Tables S3–S5; source-to-generated comparison and range/unit QA
creatinine,Creatinine,mg/dL,clustering and characterization,creatinine,available in frozen matrix,creatinine,available in frozen matrix,creatinine,available in frozen matrix,arithmetic mean across available patient-window rows,Mean across available 6-h rows,preserved as missing at source-matrix audit stage; analysis-specific handling documented in Methods,00_frozen_inputs/data_snapshot/remote_project_snapshot/04.other_feature_in_three_dataset/00.data_merge/df_saki_timeseries_feature_all.csv,publication_code/01.MIMICIV_SAKI_trajCluster/step1_data preparation.py; publication_code/03.eICU_SAKI_trajCluster/step1_data preparation.py; publication_code/02.AUMCdb_SAKI_trajCluster/step1_data preparation.py,harmonized_longitudinal_long.csv; Tables S3–S5; source-to-generated comparison and range/unit QA
