check_id,category,source,document,location,check_type,expected,observed,passed,details
manuscript_clean.population,population,W2_cross_cohort_inputs/cluster_matrix_inventory.csv,JTIM_Revised_Manuscript_clean.docx,Results — Study population,anchored_text_tokens,"[""8,313 patients"", ""4,713"", ""2,183"", ""1,417""]","The study included 8,313 patients: 4,713 from MIMIC-IV, 2,183 from AmsterdamUMCdb, and 1,417 from eICU-CRD (Table 1). Hospital-discharge outcomes were unavailable in AmsterdamUMCdb. At AKI onset, Stage 1 predominated in MIMIC-IV and AmsterdamUMCdb, whereas eICU-CRD contained larger Stage 2 and 3 fractions (Figure S4); no causal explanation was assigned to this database difference.",True,all expected source-derived tokens present
manuscript_clean.phenotype_distribution,population,W2_cross_cohort_inputs/cluster_label_counts.csv,JTIM_Revised_Manuscript_clean.docx,Results — Cluster selection and distribution,anchored_text_tokens,"[""MIMIC-IV 64.8%, 27.5%, and 7.6%"", ""AmsterdamUMCdb 64.1%, 25.8%, and 10.0%"", ""eICU-CRD 61.3%, 29.9%, and 8.8%""]","In the reproducible archived eICU candidate set (k=2–5), k=3 had the lowest historical composite score, although k=2 was close. In the new three-seed, screening-depth grid, k=3 was selected in 2/3 MIMIC-IV, 1/3 eICU-CRD, and 2/3 AmsterdamUMCdb seeds; k=2 was selected otherwise, while k=4–5 showed poor mixing (Tables S15d–S15e; Figure S2). In the prespecified deeper K=2 versus K=3 experiment, all three K=3 starts passed the agreement, ARI, prevalence, and lag-1 thresholds in MIMIC-IV and AmsterdamUMCdb, whereas eICU-CRD passed in only one of three starts and retained initialization sensitivity (all-initialization median agreement 0.771; ARI 0.495). Two eICU K=3 starts combined a four-patient component with posterior mean deviance approximately 151,000 above K=2. Restricting post hoc to the single nonflagged fit gave agreement 0.997 and ARI 0.990; this sensitivity result did not replace the all-initialization summary. Thus, the combined screening and deep evidence did not provide unanimous support for k=3. The aligned patterns were named RR, DR, and PW. Their distributions were MIMIC-IV 64.8%, 27.5%, and 7.6%; AmsterdamUMCdb 64.1%, 25.8%, and 10.0%; and eICU-CRD 61.3%, 29.9%, and 8.8%, respectively. We interpret this as cross-cohort reproducibility of broad trajectory shapes, not proof of a unique true number of biological subphenotypes. Variable-scaling refits passed prespecified agreement and ARI thresholds in all cohorts. Exclusion of documented RRT recipients passed in MIMIC-IV and eICU-CRD but produced a cautionary small-cluster solution in AmsterdamUMCdb. Complete 30-window follow-up retained only 24.6%–27.2% and was cautionary in all cohorts; limited-forward-fill complete-row refits were also cautionary in MIMIC-IV and eICU-CRD. Deep three-initialization reruns of all six screening-depth caution scenarios retained at least one failed or degenerate start in every scenario (Tables S15f–S15h; Figure S10). In eICU-CRD, the documented-window refit retained 1,043 patients and passed all three deep starts (median agreement 0.835; median ARI 0.523). The ≥50%-coverage restriction retained 415 patients and only 28 archived PW patients, yielded no stable PW component, and showed high lag-1 autocorrelation in up to 41.7% of component-mean chains. It is therefore reported as a selected-cohort stress test rather than confirmatory evidence (Tables S16–S16b; Figure S11).",True,all expected source-derived tokens present
manuscript_clean.k_and_uo,cluster_robustness,W3_fresh_k_grid; W3_deep_k_stability; W3_uo_multiseed_sensitivity,JTIM_Revised_Manuscript_clean.docx,Results — Cluster robustness,anchored_text_tokens,"[""k=3 was selected in 2/3 MIMIC-IV, 1/3 eICU-CRD, and 2/3 AmsterdamUMCdb"", ""1,043 patients"", ""median agreement 0.835"", ""median ARI 0.523"", ""415 patients"", ""41.7%""]","In the reproducible archived eICU candidate set (k=2–5), k=3 had the lowest historical composite score, although k=2 was close. In the new three-seed, screening-depth grid, k=3 was selected in 2/3 MIMIC-IV, 1/3 eICU-CRD, and 2/3 AmsterdamUMCdb seeds; k=2 was selected otherwise, while k=4–5 showed poor mixing (Tables S15d–S15e; Figure S2). In the prespecified deeper K=2 versus K=3 experiment, all three K=3 starts passed the agreement, ARI, prevalence, and lag-1 thresholds in MIMIC-IV and AmsterdamUMCdb, whereas eICU-CRD passed in only one of three starts and retained initialization sensitivity (all-initialization median agreement 0.771; ARI 0.495). Two eICU K=3 starts combined a four-patient component with posterior mean deviance approximately 151,000 above K=2. Restricting post hoc to the single nonflagged fit gave agreement 0.997 and ARI 0.990; this sensitivity result did not replace the all-initialization summary. Thus, the combined screening and deep evidence did not provide unanimous support for k=3. The aligned patterns were named RR, DR, and PW. Their distributions were MIMIC-IV 64.8%, 27.5%, and 7.6%; AmsterdamUMCdb 64.1%, 25.8%, and 10.0%; and eICU-CRD 61.3%, 29.9%, and 8.8%, respectively. We interpret this as cross-cohort reproducibility of broad trajectory shapes, not proof of a unique true number of biological subphenotypes. Variable-scaling refits passed prespecified agreement and ARI thresholds in all cohorts. Exclusion of documented RRT recipients passed in MIMIC-IV and eICU-CRD but produced a cautionary small-cluster solution in AmsterdamUMCdb. Complete 30-window follow-up retained only 24.6%–27.2% and was cautionary in all cohorts; limited-forward-fill complete-row refits were also cautionary in MIMIC-IV and eICU-CRD. Deep three-initialization reruns of all six screening-depth caution scenarios retained at least one failed or degenerate start in every scenario (Tables S15f–S15h; Figure S10). In eICU-CRD, the documented-window refit retained 1,043 patients and passed all three deep starts (median agreement 0.835; median ARI 0.523). The ≥50%-coverage restriction retained 415 patients and only 28 archived PW patients, yielded no stable PW component, and showed high lag-1 autocorrelation in up to 41.7% of component-mean chains. It is therefore reported as a selected-cohort stress test rather than confirmatory evidence (Tables S16–S16b; Figure S11).",True,all expected source-derived tokens present
manuscript_clean.mortality,mortality,W5_independent_outcomes/outcome_adjusted_effects.csv,JTIM_Revised_Manuscript_clean.docx,Results — Independent mortality association,anchored_text_tokens,"[""2.89 (95% CI 2.41–3.46)"", ""9.89 (95% CI 7.73–12.66)"", ""1.93 (95% CI 1.29–2.89)"", ""8.40 (95% CI 5.23–13.48)"", ""2.03 (95% CI 1.59–2.59)"", ""5.56 (95% CI 4.03–7.67)""]","Twenty-eight-day mortality remained associated with phenotype after adjustment for age, sex, initial AKI stage, baseline SCr, and onset nonrenal SOFA. Relative to RR, adjusted ORs for DR and PW were 2.89 (95% CI 2.41–3.46) and 9.89 (95% CI 7.73–12.66) in MIMIC-IV; 1.93 (95% CI 1.29–2.89) and 8.40 (95% CI 5.23–13.48) in eICU-CRD; and 2.03 (95% CI 1.59–2.59) and 5.56 (95% CI 4.03–7.67) in AmsterdamUMCdb (Figure S13; Table S18). These are prognostic associations and do not establish causality.",True,all expected source-derived tokens present
manuscript_clean.diuretic,diuretic,W6_diuretic_exploratory/early_first_dose_pooled_models.csv; early_first_dose_interaction_tests.csv,JTIM_Revised_Manuscript_clean.docx,Results — Exploratory diuretic response,anchored_text_tokens,"[""0.592"", ""0.331–1.060"", ""p=0.078"", ""1.129"", ""0.567–2.249"", ""p=0.729"", ""p=0.040"", ""p=0.785""]","In the restricted first-dose, 24-hour landmark analysis among treated patients, response was not consistently associated with 28-day mortality: pooled adjusted OR 0.592 (95% CI 0.331–1.060; p=0.078) in MIMIC-IV and 1.129 (0.567–2.249; p=0.729) in AmsterdamUMCdb. Response-by-phenotype interaction was detected in MIMIC-IV (p=0.040) but not AmsterdamUMCdb (p=0.785), and no phenotype-specific pattern replicated across cohorts. These results are hypothesis-generating only (Table S19; Figure S14).",True,all expected source-derived tokens present
manuscript_clean.classifier,classifier,W4_classifier_validation aggregate CSVs,JTIM_Revised_Manuscript_clean.docx,Results — Classifier,anchored_text_tokens,"[""0.836"", ""0.792"", ""0.674"", ""0.863"", ""0.774"", ""0.947"", ""0.769"", ""0.555"", ""0.504"", ""0.818"", ""0.653"", ""0.933"", ""0.814"", ""0.861"", ""0.757"", ""0.794""]","The archived XGBoost model had macro OvO AUC 0.836, accuracy 0.792, and macro F1 0.674 internally; corresponding external values were 0.769, 0.555, and 0.504. The three pair-normalized internal AUCs were DR vs RR 0.863, DR vs PW 0.774, and RR vs PW 0.947; external values were 0.818, 0.653, and 0.933. Thus, discrimination of DR from PW was materially weaker than discrimination of RR from PW. On the same evaluation splits, the exact-version replay of the archived AutoGluon XGBoost_BAG_L2 model was compared with a six-variable multinomial logistic model. The archived model showed only small internal gains and no external incremental value: external macro OvO AUC was 0.769 for both models, while balanced accuracy (0.528 versus 0.578), macro F1 (0.504 versus 0.583), and Brier score (0.576 versus 0.407) favored the simpler model. Figure S12 shows one-versus-rest quantile-bin calibration for the exact-version archived replay and the comparator. A separate fixed-parameter XGBoost sensitivity reanalysis yielded macro OvO AUC 0.838 (95% CI 0.814–0.861) internally and 0.776 (0.757–0.794) externally, with class-specific metrics reported in Table S17c.",True,all expected source-derived tokens present
manuscript_highlight.population,population,W2_cross_cohort_inputs/cluster_matrix_inventory.csv,JTIM_Revised_Manuscript_highlight.docx,Results — Study population,anchored_text_tokens,"[""8,313 patients"", ""4,713"", ""2,183"", ""1,417""]","The study included 8,313 patients: 4,713 from MIMIC-IV, 2,183 from AmsterdamUMCdb, and 1,417 from eICU-CRD (Table 1). Hospital-discharge outcomes were unavailable in AmsterdamUMCdb. At AKI onset, Stage 1 predominated in MIMIC-IV and AmsterdamUMCdb, whereas eICU-CRD contained larger Stage 2 and 3 fractions (Figure S4); no causal explanation was assigned to this database difference.",True,all expected source-derived tokens present
manuscript_highlight.phenotype_distribution,population,W2_cross_cohort_inputs/cluster_label_counts.csv,JTIM_Revised_Manuscript_highlight.docx,Results — Cluster selection and distribution,anchored_text_tokens,"[""MIMIC-IV 64.8%, 27.5%, and 7.6%"", ""AmsterdamUMCdb 64.1%, 25.8%, and 10.0%"", ""eICU-CRD 61.3%, 29.9%, and 8.8%""]","In the reproducible archived eICU candidate set (k=2–5), k=3 had the lowest historical composite score, although k=2 was close. In the new three-seed, screening-depth grid, k=3 was selected in 2/3 MIMIC-IV, 1/3 eICU-CRD, and 2/3 AmsterdamUMCdb seeds; k=2 was selected otherwise, while k=4–5 showed poor mixing (Tables S15d–S15e; Figure S2). In the prespecified deeper K=2 versus K=3 experiment, all three K=3 starts passed the agreement, ARI, prevalence, and lag-1 thresholds in MIMIC-IV and AmsterdamUMCdb, whereas eICU-CRD passed in only one of three starts and retained initialization sensitivity (all-initialization median agreement 0.771; ARI 0.495). Two eICU K=3 starts combined a four-patient component with posterior mean deviance approximately 151,000 above K=2. Restricting post hoc to the single nonflagged fit gave agreement 0.997 and ARI 0.990; this sensitivity result did not replace the all-initialization summary. Thus, the combined screening and deep evidence did not provide unanimous support for k=3. The aligned patterns were named RR, DR, and PW. Their distributions were MIMIC-IV 64.8%, 27.5%, and 7.6%; AmsterdamUMCdb 64.1%, 25.8%, and 10.0%; and eICU-CRD 61.3%, 29.9%, and 8.8%, respectively. We interpret this as cross-cohort reproducibility of broad trajectory shapes, not proof of a unique true number of biological subphenotypes. Variable-scaling refits passed prespecified agreement and ARI thresholds in all cohorts. Exclusion of documented RRT recipients passed in MIMIC-IV and eICU-CRD but produced a cautionary small-cluster solution in AmsterdamUMCdb. Complete 30-window follow-up retained only 24.6%–27.2% and was cautionary in all cohorts; limited-forward-fill complete-row refits were also cautionary in MIMIC-IV and eICU-CRD. Deep three-initialization reruns of all six screening-depth caution scenarios retained at least one failed or degenerate start in every scenario (Tables S15f–S15h; Figure S10). In eICU-CRD, the documented-window refit retained 1,043 patients and passed all three deep starts (median agreement 0.835; median ARI 0.523). The ≥50%-coverage restriction retained 415 patients and only 28 archived PW patients, yielded no stable PW component, and showed high lag-1 autocorrelation in up to 41.7% of component-mean chains. It is therefore reported as a selected-cohort stress test rather than confirmatory evidence (Tables S16–S16b; Figure S11).",True,all expected source-derived tokens present
manuscript_highlight.k_and_uo,cluster_robustness,W3_fresh_k_grid; W3_deep_k_stability; W3_uo_multiseed_sensitivity,JTIM_Revised_Manuscript_highlight.docx,Results — Cluster robustness,anchored_text_tokens,"[""k=3 was selected in 2/3 MIMIC-IV, 1/3 eICU-CRD, and 2/3 AmsterdamUMCdb"", ""1,043 patients"", ""median agreement 0.835"", ""median ARI 0.523"", ""415 patients"", ""41.7%""]","In the reproducible archived eICU candidate set (k=2–5), k=3 had the lowest historical composite score, although k=2 was close. In the new three-seed, screening-depth grid, k=3 was selected in 2/3 MIMIC-IV, 1/3 eICU-CRD, and 2/3 AmsterdamUMCdb seeds; k=2 was selected otherwise, while k=4–5 showed poor mixing (Tables S15d–S15e; Figure S2). In the prespecified deeper K=2 versus K=3 experiment, all three K=3 starts passed the agreement, ARI, prevalence, and lag-1 thresholds in MIMIC-IV and AmsterdamUMCdb, whereas eICU-CRD passed in only one of three starts and retained initialization sensitivity (all-initialization median agreement 0.771; ARI 0.495). Two eICU K=3 starts combined a four-patient component with posterior mean deviance approximately 151,000 above K=2. Restricting post hoc to the single nonflagged fit gave agreement 0.997 and ARI 0.990; this sensitivity result did not replace the all-initialization summary. Thus, the combined screening and deep evidence did not provide unanimous support for k=3. The aligned patterns were named RR, DR, and PW. Their distributions were MIMIC-IV 64.8%, 27.5%, and 7.6%; AmsterdamUMCdb 64.1%, 25.8%, and 10.0%; and eICU-CRD 61.3%, 29.9%, and 8.8%, respectively. We interpret this as cross-cohort reproducibility of broad trajectory shapes, not proof of a unique true number of biological subphenotypes. Variable-scaling refits passed prespecified agreement and ARI thresholds in all cohorts. Exclusion of documented RRT recipients passed in MIMIC-IV and eICU-CRD but produced a cautionary small-cluster solution in AmsterdamUMCdb. Complete 30-window follow-up retained only 24.6%–27.2% and was cautionary in all cohorts; limited-forward-fill complete-row refits were also cautionary in MIMIC-IV and eICU-CRD. Deep three-initialization reruns of all six screening-depth caution scenarios retained at least one failed or degenerate start in every scenario (Tables S15f–S15h; Figure S10). In eICU-CRD, the documented-window refit retained 1,043 patients and passed all three deep starts (median agreement 0.835; median ARI 0.523). The ≥50%-coverage restriction retained 415 patients and only 28 archived PW patients, yielded no stable PW component, and showed high lag-1 autocorrelation in up to 41.7% of component-mean chains. It is therefore reported as a selected-cohort stress test rather than confirmatory evidence (Tables S16–S16b; Figure S11).",True,all expected source-derived tokens present
manuscript_highlight.mortality,mortality,W5_independent_outcomes/outcome_adjusted_effects.csv,JTIM_Revised_Manuscript_highlight.docx,Results — Independent mortality association,anchored_text_tokens,"[""2.89 (95% CI 2.41–3.46)"", ""9.89 (95% CI 7.73–12.66)"", ""1.93 (95% CI 1.29–2.89)"", ""8.40 (95% CI 5.23–13.48)"", ""2.03 (95% CI 1.59–2.59)"", ""5.56 (95% CI 4.03–7.67)""]","Twenty-eight-day mortality remained associated with phenotype after adjustment for age, sex, initial AKI stage, baseline SCr, and onset nonrenal SOFA. Relative to RR, adjusted ORs for DR and PW were 2.89 (95% CI 2.41–3.46) and 9.89 (95% CI 7.73–12.66) in MIMIC-IV; 1.93 (95% CI 1.29–2.89) and 8.40 (95% CI 5.23–13.48) in eICU-CRD; and 2.03 (95% CI 1.59–2.59) and 5.56 (95% CI 4.03–7.67) in AmsterdamUMCdb (Figure S13; Table S18). These are prognostic associations and do not establish causality.",True,all expected source-derived tokens present
manuscript_highlight.diuretic,diuretic,W6_diuretic_exploratory/early_first_dose_pooled_models.csv; early_first_dose_interaction_tests.csv,JTIM_Revised_Manuscript_highlight.docx,Results — Exploratory diuretic response,anchored_text_tokens,"[""0.592"", ""0.331–1.060"", ""p=0.078"", ""1.129"", ""0.567–2.249"", ""p=0.729"", ""p=0.040"", ""p=0.785""]","In the restricted first-dose, 24-hour landmark analysis among treated patients, response was not consistently associated with 28-day mortality: pooled adjusted OR 0.592 (95% CI 0.331–1.060; p=0.078) in MIMIC-IV and 1.129 (0.567–2.249; p=0.729) in AmsterdamUMCdb. Response-by-phenotype interaction was detected in MIMIC-IV (p=0.040) but not AmsterdamUMCdb (p=0.785), and no phenotype-specific pattern replicated across cohorts. These results are hypothesis-generating only (Table S19; Figure S14).",True,all expected source-derived tokens present
manuscript_highlight.classifier,classifier,W4_classifier_validation aggregate CSVs,JTIM_Revised_Manuscript_highlight.docx,Results — Classifier,anchored_text_tokens,"[""0.836"", ""0.792"", ""0.674"", ""0.863"", ""0.774"", ""0.947"", ""0.769"", ""0.555"", ""0.504"", ""0.818"", ""0.653"", ""0.933"", ""0.814"", ""0.861"", ""0.757"", ""0.794""]","The archived XGBoost model had macro OvO AUC 0.836, accuracy 0.792, and macro F1 0.674 internally; corresponding external values were 0.769, 0.555, and 0.504. The three pair-normalized internal AUCs were DR vs RR 0.863, DR vs PW 0.774, and RR vs PW 0.947; external values were 0.818, 0.653, and 0.933. Thus, discrimination of DR from PW was materially weaker than discrimination of RR from PW. On the same evaluation splits, the exact-version replay of the archived AutoGluon XGBoost_BAG_L2 model was compared with a six-variable multinomial logistic model. The archived model showed only small internal gains and no external incremental value: external macro OvO AUC was 0.769 for both models, while balanced accuracy (0.528 versus 0.578), macro F1 (0.504 versus 0.583), and Brier score (0.576 versus 0.407) favored the simpler model. Figure S12 shows one-versus-rest quantile-bin calibration for the exact-version archived replay and the comparator. A separate fixed-parameter XGBoost sensitivity reanalysis yielded macro OvO AUC 0.838 (95% CI 0.814–0.861) internally and 0.776 (0.757–0.794) externally, with class-specific metrics reported in Table S17c.",True,all expected source-derived tokens present
response.k_uo_primary,cluster_robustness,W3_fresh_k_grid; W3_deep_k_stability,JTIM_Point-by-point_Response.docx,E.2 response,anchored_text_tokens,"[""2/3 MIMIC-IV"", ""1/3 eICU-CRD"", ""2/3 AmsterdamUMCdb""]","4. Cluster number and initialization. A three-seed k=2-5 grid selected k=3 in 2/3 MIMIC-IV, 1/3 eICU-CRD, and 2/3 AmsterdamUMCdb seeds, with k=2 otherwise and poor mixing at k=4-5. Those fits retained 100 samples per chain, and we present them only as a coarse screen. In the prespecified full-length K=2 versus K=3 experiment, eICU-CRD retains an all-initialization exact agreement of 0.771 and ARI of 0.495. The two degenerate poor-fitting eICU starts strongly influence this median; restriction post hoc to the single nonflagged fit gives exact agreement 0.997 and ARI 0.990. Because that restriction is post hoc, it does not replace the primary result. In MIMIC-IV, all three initializations have similar mean deviance, yet one assigns approximately 14% of patients differently (ARI 0.612), confirming genuine assignment instability. The evidence supports recurrent broad trajectory patterns and a useful three-component representation, but neither a unique biological taxonomy nor completely stable patient-level assignments.",True,all expected source-derived tokens present
